Timestamp,How many hours did you spend at university today? (round to nearest whole number),How many times did you pick up the phone during the day today? (See All App & Website Activity > Scroll down to Pick-Ups),"How many assignments did you have due today?(including quizzes, labs, assessments)",What screen time range were you in today?,How productive did you feel today
24/03/2026 22:32:23,9,167,3,High (more than 5 hours),Somewhat productive
24/03/2026 22:34:50,4,148,0,High (more than 5 hours),Neutral (neither productive nor unproductive)
24/03/2026 22:34:53,3,80,1,Medium (2-5 hours),Neutral (neither productive nor unproductive)
24/03/2026 22:37:50,8,149,1,High (more than 5 hours),Neutral (neither productive nor unproductive)
24/03/2026 22:56:42,3,58,0,High (more than 5 hours),Somewhat productive
25/03/2026 19:54:08,7,100,0,Medium (2-5 hours),Somewhat productive
25/03/2026 21:14:33,10,161,1,High (more than 5 hours),Neutral (neither productive nor unproductive)
25/03/2026 22:26:28,0,80,0,High (more than 5 hours),Somewhat productive
25/03/2026 22:48:15,2,56,0,Medium (2-5 hours),Somewhat productive
25/03/2026 23:05:06,8,131,1,High (more than 5 hours),Neutral (neither productive nor unproductive)
26/03/2026 10:10:50,6,130,1,Medium (2-5 hours),Somewhat productive
26/03/2026 22:47:11,0,55,1,Medium (2-5 hours),Somewhat productive
26/03/2026 22:48:52,0,60,0,Medium (2-5 hours),Somewhat productive
26/03/2026 23:06:50,6,315,1,High (more than 5 hours),Somewhat unproductive
26/03/2026 23:27:59,0,100,0,Medium (2-5 hours),Very productive
27/03/2026 09:18:53,5,136,1,Medium (2-5 hours),Very productive
27/03/2026 15:45:09,4,55,3,Low (less than 2 hours),Somewhat productive
27/03/2026 22:10:08,5,203,2,High (more than 5 hours),Somewhat productive
27/03/2026 23:33:20,0,60,0,Medium (2-5 hours),Neutral (neither productive nor unproductive)
27/03/2026 23:33:52,0,74,1,Low (less than 2 hours),Somewhat productive
28/03/2026 18:46:00,4,120,0,Medium (2-5 hours),Very productive
28/03/2026 18:46:57,0,80,0,Medium (2-5 hours),Very productive
28/03/2026 21:52:42,0,167,1,High (more than 5 hours),Somewhat productive
28/03/2026 23:04:38,0,52,0,High (more than 5 hours),Very unproductive
28/03/2026 23:15:59,0,61,0,Medium (2-5 hours),Somewhat productive
29/03/2026 14:20:16,5,79,3,Medium (2-5 hours),Somewhat productive
29/03/2026 14:20:45,0,41,2,Low (less than 2 hours),Neutral (neither productive nor unproductive)
